"","P1","P2","P3"
"Aaleth1",9.9991e-05,0.822497,0.177403
"Abbadi",0.936824,0.0630756,9.9991e-05
"Abbadi_Abou_Gabra-6101",0.9998,9.999e-05,9.999e-05
"Abbadi_Helo1",0.961502,0.0383979,9.9991e-05
"Abiad_Min_Omou1",0.739002,9.9991e-05,0.260898
"Abou_Anaked1",0.944254,0.0556459,9.9991e-05
"Abou_Monkar1",0.425991,0.463337,0.110672
"Abunara1",0.546282,9.9991e-05,0.453618
"Acebuchera",0.0343863,9.9991e-05,0.965514
"Adkam",0.960448,0.0394525,9.9991e-05
"Aggezi",0.879667,9.9991e-05,0.120233
"Aggezi_Akse1",0.911065,0.016263,0.072672
"Aggezi_Oshime1",0.932591,0.0322514,0.0351573
"Aglandau1",0.769804,9.9991e-05,0.230096
"Agrarez1",0.804787,9.9991e-05,0.195113
"Aguenaou1",0.527737,9.9991e-05,0.472163
"Ahia_Ousbaa1",0.391481,0.546438,0.0620812
"Aimel1",9.999e-05,0.9998,9.999e-05
"Aitana1",0.953016,0.0445359,0.0024484
"Akenane1",0.272799,0.549069,0.178132
"Akerma1",0.749973,9.9991e-05,0.249927
"Alameno_Blanco",9.9991e-05,0.0234516,0.976448
"Alameno_de_Montilla",9.9991e-05,0.378611,0.621289
"Albatro1",0.510437,0.366341,0.123222
"Allora1",0.24131,0.75859,9.9991e-05
"Amargoso",0.542215,9.9991e-05,0.457685
"Americano1",0.219281,0.588225,0.192494
"Arbequina",0.312138,0.687762,9.9991e-05
"Ascolana_Tenera",0.461058,0.113618,0.425324
"Azeboudj_de_Khirane1",0.319524,0.652552,0.0279237
"Azeradj1",0.777565,9.9991e-05,0.222335
"Azul",0.201752,0.652809,0.145439
"Baid_El_Hamam1",0.87398,0.0235414,0.102479
"Baladi1",0.925071,0.0159918,0.0589377
"Barouni1",0.0398592,0.00169436,0.958446
"Bed_Al_Iguel1",0.00952604,9.9991e-05,0.990374
"Beladi",0.9998,9.999e-05,9.999e-05
"Beladi-577",0.9998,9.999e-05,9.999e-05
"Beldi1",0.624017,0.0304275,0.345555
"Berri_Meslal-3971",9.9991e-05,0.788654,0.211246
"Berri_Meslal-5321",9.9991e-05,0.801718,0.198182
"Besbessi1",0.900088,0.0176837,0.0822287
"Bez_El_Anza1",0.45231,0.478063,0.0696272
"Biancolilla-831",0.264833,0.449861,0.285306
"Bical",0.113198,0.039634,0.847168
"Bissani-5781",0.9998,9.999e-05,9.999e-05
"Blanqueta",0.229031,0.770869,9.9991e-05
"Bolvino",0.793183,0.206717,9.9991e-05
"Borriolenca",0.295826,0.559999,0.144175
"Bosana",0.236379,0.555429,0.208192
"Bottone_di_gallo1",0.0780841,0.611929,0.309987
"Bouchouika1",0.0314596,9.9991e-05,0.96844
"Bouchouk_Lafayette1",0.777145,9.9991e-05,0.222755
"Bouteillan",0.728428,9.9991e-05,0.271472
"Brandofino1",0.803434,0.00865844,0.187907
"Buga",0.369323,0.222857,0.40782
"Cairo_71",0.120235,0.506418,0.373346
"Calatina1",0.330852,0.356384,0.312765
"Callosina",0.0221159,0.137259,0.840626
"Canivano_Negro",9.9991e-05,0.1264,0.8735
"Cariasina1",0.322641,0.153371,0.523988
"Carolea",0.715557,9.9991e-05,0.284343
"Carrasqueno_de_Elvas",0.0759554,0.0502028,0.873842
"Carrasqueno_de_Jumilla",0.0230231,0.00849597,0.968481
"Carrasquillo",9.9991e-05,0.00534374,0.994556
"Cassanese1",0.32504,0.288984,0.385976
"Castricianella_rapparina1",0.335335,0.534742,0.129923
"Cavalieri1",0.325534,0.492135,0.182331
"Cayon1",0.720506,0.00375577,0.275739
"Cerasuola1",0.344532,0.439872,0.215595
"Cerezuela",9.9991e-05,0.019397,0.980503
"Chalkidikis",0.673223,9.9991e-05,0.326677
"Changlot_Real",0.186065,0.251851,0.562084
"Chemchali1",0.573473,0.289369,0.137158
"Chemlal_de_Kabilye",9.9991e-05,0.783929,0.215971
"Chetoui",0.399402,0.461791,0.138807
"Chorruo",0.0190335,9.9991e-05,0.980866
"Ciciarello1",0.108143,0.891757,9.9991e-05
"Cima_di_Melfi1",0.24081,0.667471,0.0917181
"Cirujal",0.265475,0.51901,0.215514
"Cobrancosa",0.0710722,0.0159889,0.912939
"Confetto1",0.736775,9.9991e-05,0.263125
"Coratina",0.131225,0.711734,0.157041
"Corbella",0.486021,0.402235,0.111743
"Cordovil_de",0.0300172,0.0145732,0.95541
"Cornezuelo_de_Jaen12",0.446938,9.9991e-05,0.552962
"Cornicabra",0.0285897,0.0242709,0.947139
"Craputea1",0.276975,0.528414,0.194612
"Crastu1",0.337516,0.418414,0.24407
"Crnica-3991",0.353446,0.48158,0.164974
"Cucca1",0.334065,0.470367,0.195567
"Cuoricino1",0.361619,0.638281,9.9991e-05
"Dhokar1",0.0483598,0.881949,0.0696909
"Djlot_Tadmori1",0.9998,9.999e-05,9.999e-05
"Dolce_di_Rossano1",0.416873,0.583027,9.9991e-05
"Dressi1",0.159377,0.557258,0.283365
"Dritta_di_Moscufa1",0.38684,0.476534,0.136626
"Dulzal",0.0470384,0.022115,0.930847
"El",0.353065,0.514775,0.132159
"El_Lewa1",0.908509,0.0272198,0.0642711
"Emilia1",0.448394,0.551506,9.9991e-05
"Empeltre",0.48386,0.51604,9.9991e-05
"Enagua_de_Arenas",9.999e-05,9.999e-05,0.9998
"Ensasi",0.991595,0.00830462,9.9991e-05
"Escarabajuelo_de_Posadas",9.9991e-05,0.00523131,0.994669
"Escarabajuelo_de_Ubeda",0.270076,9.9991e-05,0.729824
"Farga",0.456444,0.543456,9.9991e-05
"Ferkani1",0.434984,0.564916,9.9991e-05
"Frantoio",0.150126,0.849774,9.9991e-05
"Fulla_de",0.0479062,0.0228018,0.929292
"Galega_Vulgar",9.9991e-05,0.493566,0.506334
"Gemlik",0.753238,9.9991e-05,0.246662
"Gentile_di_chieti1",0.396309,0.603591,9.9991e-05
"Gerboui",0.909544,0.0849809,0.0054751
"Gerboui-2981",0.467314,0.395366,0.13732
"Giarraffa1",0.531028,9.9991e-05,0.468872
"Gordal",0.528982,9.9991e-05,0.470918
"Gordal_de_Granada",9.999e-05,9.999e-05,0.9998
"Grappolo",0.292918,0.5907,0.116383
"Gremigno_di_Fauglia1",9.999e-05,0.9998,9.999e-05
"Grossa_di",0.886381,9.9991e-05,0.113519
"Grossane-1941",0.529928,0.026749,0.443323
"Habichuelero_de_Grazalema",0.119018,0.0610362,0.819946
"Hamed1",0.929846,0.0700543,9.9991e-05
"Hamra1",9.999e-05,0.9998,9.999e-05
"Hemblasi-6011",0.9998,9.999e-05,9.999e-05
"Heraktane1",0.962205,0.0376949,9.9991e-05
"Hojiblanca",0.100046,0.0756349,0.824319
"Humaisi1",0.9998,9.999e-05,9.999e-05
"Idleb1",0.965934,9.9991e-05,0.0339656
"Ifiri1",0.29381,0.465574,0.240616
"Intosso1",0.466713,0.043795,0.489492
"Istarska_crnica1",0.357967,0.561698,0.0803348
"Itrana",0.42149,0.185718,0.392792
"Jabaluna",0.274068,9.9991e-05,0.725832
"Jaropo",9.999e-05,9.999e-05,0.9998
"Jlot",0.973738,9.9991e-05,0.0261617
"Kaissy1",0.9998,9.999e-05,9.999e-05
"Kalokerida",0.229475,0.325852,0.444673
"Karamani",0.988605,9.9991e-05,0.0112951
"Karbuncela1",0.402317,0.187112,0.410572
"Karme1",0.9998,9.999e-05,9.999e-05
"Karolia1",0.909749,0.0526854,0.0375653
"Karydolia1",0.925231,0.0620841,0.0126846
"Kato_Drys",0.9998,9.999e-05,9.999e-05
"Kerdi1",0.9998,9.999e-05,9.999e-05
"Khadraya1",0.168619,0.67528,0.156101
"Khalkhali-6291",0.9998,9.999e-05,9.999e-05
"Khashabi-6311",0.932224,0.0676761,9.9991e-05
"Khnfse1",0.9998,9.999e-05,9.999e-05
"Khodieri1",0.9998,9.999e-05,9.999e-05
"Kolybada",0.811532,0.0752974,0.113171
"Kossiem1",0.156787,0.441028,0.402186
"Kothreiki1",0.821097,0.178803,9.9991e-05
"Koutsourelia1",0.442869,0.557031,9.9991e-05
"Lastovka",0.501299,0.498601,9.9991e-05
"Lastrino1",0.0039976,0.765016,0.230986
"Lazzero_di_prata1",0.192434,0.386749,0.420817
"Lazzero1",9.9991e-05,0.962664,0.0372356
"Leccino",0.204021,0.575522,0.220457
"Leccio_Maremmano1",0.362058,0.637842,9.9991e-05
"Lechin_de",9.9991e-05,0.410009,0.589891
"Lechin_de_Granada12",9.9991e-05,0.366145,0.633755
"Lentisca-2061",0.00433678,0.497775,0.497888
"Lentisca-2441",0.0699277,0.341901,0.588171
"Limoncillo",0.0180358,0.0489651,0.932999
"Lloron_de_Atarfe",0.0737226,9.9991e-05,0.926177
"Llumeta",0.32765,0.672177,0.000172687
"Loaime",0.00835634,9.9991e-05,0.991544
"Lucques",0.642512,0.164281,0.193206
"Lumbardeska1",0.427888,0.172857,0.399255
"Lumiaro1",0.708,9.9991e-05,0.2919
"Machorron",0.0225737,0.0278823,0.949544
"Madonna_dell_impruneta1",0.346405,0.607699,0.0458954
"Madural-2081",0.00804274,0.0283582,0.963599
"Mahati-6151",0.938344,0.0615557,9.9991e-05
"Maiatica_di_Ferrandina1",0.803866,0.196034,9.9991e-05
"Mancanilha_Algarvia1",0.548784,9.9991e-05,0.451116
"Manzanilla_Cacerena",0.0568523,0.0292745,0.913873
"Manzanilla_de",0.024476,0.00839558,0.967128
"Manzanilla_de_Agua",0.00143778,9.9991e-05,0.998462
"Manzanilla_de_Hellin",0.0440219,0.00622223,0.949756
"Manzanilla_de_Montefrio",0.0131893,9.9991e-05,0.986711
"Maraki1",0.790134,0.144527,0.0653389
"Maremmano1",0.312584,0.634839,0.0525772
"Masabi",0.760403,9.9991e-05,0.239497
"Mastoidis",0.385909,0.613991,9.9991e-05
"Maurino",0.297288,0.561975,0.140737
"Mavreya",0.309557,0.687403,0.00303977
"Mawi",0.934059,0.0658412,9.9991e-05
"Meloky1",0.86577,0.104746,0.029484
"Meslala1",0.0914984,9.9991e-05,0.908402
"Mesyaf-6411",0.930515,0.022086,0.0473988
"Mesyaf-6621",0.981608,0.0182922,9.9991e-05
"Mignolo_Cerretano1",0.159288,0.609088,0.231624
"Mignolo1",0.0100726,0.989827,9.9991e-05
"Minekiri1",0.9998,9.999e-05,9.999e-05
"Mohazam_Abou",0.952162,0.0477378,9.9991e-05
"Mollar_de_Cieza",0.0402963,9.9991e-05,0.959604
"Moraiolo",0.231915,0.616589,0.151496
"Morchiaio1",0.377097,0.610741,0.0121622
"Morchione1",0.3786,0.492964,0.128436
"Morcone1",0.114022,0.821623,0.0643554
"Morello_a_punta1",0.296979,0.565788,0.137233
"Moresca1",0.756077,9.9991e-05,0.243823
"Morisca",0.0106595,0.0135748,0.975766
"Morona",0.0209424,0.00446072,0.974597
"Morrut",0.489901,0.345184,0.164915
"Mortellino1",9.9991e-05,0.965421,0.0344793
"Nasitana_Frutto_Grosso1",0.550285,0.332425,0.11729
"Neb_Jmel-2831",0.451643,0.407212,0.141145
"Negral_de",0.778605,0.0933353,0.12806
"Negrillo_de_Arjona",0.043604,0.0269589,0.929437
"Negrillo_de_Estepa",9.9991e-05,0.0555689,0.944331
"Negrillo_de_Iznalloz",9.999e-05,9.999e-05,0.9998
"Negrillo_Redondo",0.0245895,0.024516,0.950895
"Negrita1",0.13624,9.9991e-05,0.86366
"Nerba1",0.778994,9.9991e-05,0.220906
"Nevado_Azul",9.999e-05,9.999e-05,0.9998
"Nevado_Basto",9.999e-05,9.999e-05,0.9998
"Nevado_Rizado",9.9991e-05,0.047626,0.952274
"Nocellara_del_Belice1",0.797025,9.9991e-05,0.202875
"Nocellara_Etnea1",0.64327,9.9991e-05,0.35663
"Nociara1",0.130549,0.640179,0.229272
"Ocal",0.108271,9.9991e-05,0.891629
"Ogliarola_del_Bradano1",0.0469394,0.918054,0.035007
"Ogliarola_del_Vulture1",0.447698,0.552202,9.9991e-05
"Ojo_de_Liebre",0.0653201,0.00511919,0.929561
"Olivastra_di_Montalcino1",9.9991e-05,0.989116,0.0107836
"Olivastra_di_Populonia1",0.00900451,0.925166,0.06583
"Olivo_de_Mancha_Real",9.999e-05,9.999e-05,0.9998
"Olivo_del_Mulino1",0.355125,0.193981,0.450894
"Olivo_di",0.290671,0.570281,0.139049
"Olivo_di_Casavecchia1",0.190301,0.450828,0.358871
"Olivo_di_Mandanici1",0.0531948,0.946705,9.9991e-05
"Ornellaia1",0.328844,0.500848,0.170308
"Ottobratica1",0.0821469,0.917753,9.9991e-05
"Palomar",0.450892,0.435902,0.113206
"Patronet",0.495914,0.326036,0.17805
"Pendolino-1621",0.180655,0.648802,0.170544
"Piangente1",0.183209,0.675808,0.140983
"Picholine",0.519431,0.171219,0.30935
"Picholine_Marocaine",9.9991e-05,0.0107948,0.989105
"Pico_Limon_de_Grazalema",0.0607005,0.00609888,0.933201
"Picual",9.9991e-05,0.0518306,0.948069
"Picudo",9.9991e-05,0.00459474,0.995305
"Pidicuddara1",0.380853,0.413009,0.206138
"Pikrolia1",0.287963,0.596507,0.11553
"Plementa_Bjelica",0.497095,0.319739,0.183166
"Puntoza1",0.364751,0.167497,0.467752
"Rachati-1811",0.459007,0.516548,0.0244454
"Racimal",0.0206165,9.9991e-05,0.979283
"Rapasayo",9.9991e-05,0.279453,0.720447
"Ravece1",0.0558528,9.9991e-05,0.944047
"Razzaio1",0.376503,0.607505,0.0159918
"Rechino",0.0296844,0.0460489,0.924267
"Redondal1",0.0144138,0.024686,0.9609
"Remmani1",0.9998,9.999e-05,9.999e-05
"Ronde_de_la_Menara1",0.543404,9.9991e-05,0.456496
"Ronde_de_Miliana1",9.9991e-05,0.01565,0.98425
"Rossellino_Cerretano1",0.297673,0.594019,0.108308
"Rossellino1",0.156163,0.784113,0.0597238
"Rossello1",0.311976,0.627597,0.0604272
"Rougette_de_Mitidja1",0.396953,0.391867,0.21118
"Royal_de_Cazorla",0.102011,0.0172238,0.880765
"Sabatera",0.419689,0.463241,0.11707
"Salicino1",0.323401,0.362033,0.314566
"Salonenque",0.905842,0.0643286,0.0298294
"Samo1",0.38912,0.158096,0.452784
"San_Francesco1",0.478138,0.461838,0.0600237
"Sant_Agostino",0.724971,9.9991e-05,0.274929
"Santa_Martinenga1",0.437033,0.293519,0.269448
"Sayali1",0.262798,0.36424,0.372962
"Sebhawy1",9.9991e-05,0.0095419,0.990358
"Sevillano_de_Jumilla",0.0600142,9.9991e-05,0.939886
"Sevillenca",0.398788,0.303719,0.297493
"Simjaca1",0.4583,0.134961,0.406739
"Sinopolese1",0.382932,0.500441,0.116628
"Sivigliana_da_Olio1",9.9991e-05,0.814357,0.185543
"Souidi1",0.0517698,0.94813,9.9991e-05
"Storta1",0.454294,0.300362,0.245344
"Sukkare1",0.946229,0.0536712,9.9991e-05
"Tabelout1",0.0723804,0.92752,9.9991e-05
"Tarabelsi1",0.9998,9.999e-05,9.999e-05
"Tebabs1",0.923601,0.0762987,9.9991e-05
"Teffah1",0.605883,0.00665483,0.387462
"Tempranillo_de_Yeste-2741",0.0903468,9.9991e-05,0.909553
"Toffahi-4861",0.913839,9.9991e-05,0.086061
"Toffahi-6211",0.9998,9.999e-05,9.999e-05
"Tonda_Iblea1",0.696044,9.9991e-05,0.303856
"Tounsi-4611",0.615544,0.276145,0.108311
"Trillo1",9.9991e-05,0.622408,0.377492
"Unkown-OT2-5371",0.326841,0.673059,9.9991e-05
"Unkown-OZ1-5381",9.9991e-05,0.743208,0.256692
"Unkown-VS1-5441",9.9991e-05,0.729794,0.270106
"Unkown-VS2-5451",9.9991e-05,0.748868,0.251032
"Unkown-VS5-5471",9.9991e-05,0.749737,0.250163
"Uovo_di_Piccione",0.736974,9.9991e-05,0.262926
"Vaddarica1",0.301926,0.571083,0.126991
"Varudo",0.028247,9.9991e-05,0.971653
"Varudo-2751",0.0378591,9.9991e-05,0.962041
"Vasilikada1",0.396104,0.324907,0.278989
"Velika_Lastovka1",0.423418,0.116041,0.460541
"Vera",0.391419,0.608481,9.9991e-05
"Verdala",0.00868255,9.9991e-05,0.991217
"Verdale",0.524941,9.9991e-05,0.474959
"Verdial_de_Badajoz",9.9991e-05,0.0047661,0.995134
"Verdial_de_Huevar",0.00862251,0.0755221,0.915855
"Verdial_transmontana1",0.10509,9.9991e-05,0.89481
"Verdiell",0.275778,0.510072,0.214151
"Villalonga",0.574212,0.233845,0.191942
"Wateken1",0.865673,0.0815228,0.0528047
"Zael_Al_Muhra1",0.9998,9.999e-05,9.999e-05
"Zaity",0.9998,9.999e-05,9.999e-05
"Zalmati-2991",0.0617996,0.840379,0.0978216
"Zarza",9.9991e-05,0.409946,0.589954
"Zeboudj_boudoudane1",0.325186,0.446984,0.22783
"Zeletni1",9.9991e-05,0.846002,0.153898
